Team,平台,有效代码率(代码行/总行数),注释率(注释行/总行数),库名称,分支,代码总行数,有效代码行数,注释总行数,空行总数,有效代码比
C端,iOS,74.40%,10.99%,supermarket_ios_channel,7.38/development,168596,125628,18470,24498,74.51%
C端,iOS,74.40%,10.99%,supermarket_ios_search,7.38/development,32902,25456,2601,4845,77.37%
C端,iOS,74.40%,10.99%,supermarket_ios_kit,7.38/development,7459,4919,1467,1073,65.95%
C端,iOS,74.40%,10.99%,supermarket_ios_mediator,7.38/development,2755,1904,410,441,69.11%
C端,iOS,74.40%,10.99%,supermarket_ios_platform,7.38/development,6219,4227,1003,989,67.97%
C端,Android,72.84%,13.51%,waimai_android_store,develop,172846,126692,22645,23509,73.30%
C端,Android,72.84%,13.51%,reco_android_c_im,develop,23846,18050,2622,3174,75.69%
C端,Android,72.84%,13.51%,reco_android_c_search,develop,21272,16688,2020,2564,78.45%
C端,Android,72.84%,13.51%,reco_android_c_platform,develop,34582,23249,5892,5441,67.23%
C端,Android,72.84%,13.51%,reco-android-common-core,master,8884,5740,2153,991,64.61%
C端,JS,89.71%,2.99%,flashbuy_mrn,developer,82597,74568,2168,5861,90.28%
C端,JS,89.71%,2.99%,flashbuy_mrn_common,developer,4973,3988,451,534,80.19%
B端,iOS,74.11%,9.65%,waimai_ios_e_retail_kit,master,40768,30473,3652,6643,74.75%
B端,iOS,74.11%,9.65%,reco_ios_e_retail_platform,master,2475,1658,360,457,66.99%
B端,iOS,74.11%,9.65%,reco_ios_e_retail_channel,development,29394,21728,3083,4583,73.92%
B端,iOS,74.11%,9.65%,reco_ios_e_retail_order,master,12345,8917,1363,2065,72.23%
B端,iOS,74.11%,9.65%,reco_ios_e_retail_shop,development,17277,13007,1407,2863,75.29%
B端,Android,72.41%,13.06%,waimai_sc_android_b_product,master,62724,44761,9619,8344,71.36%
B端,Android,72.41%,13.06%,reco_sc_android_b_order,master,7600,5546,981,1073,72.97%
B端,Android,72.41%,13.06%,reco_sc_android_b_common,master,14936,8868,3736,2332,59.37%
B端,Android,72.41%,13.06%,reco_android_uppershelf,master,36394,27335,3297,5762,75.11%
B端,Android,72.41%,13.06%,reco_android_shelf_controller,master,56,34,11,11,60.71%
B端,Android,72.41%,13.06%,reco_android_store_order,master,120,77,11,32,64.17%
B端,Android,72.41%,13.06%,reco_energize_android,master,33465,25809,2707,4949,77.12%
B端,Android,72.41%,13.06%,reco_energize_kit_android,master,832,621,22,189,74.64%
B端,JS,90.11%,2.81%,reco_sc_mrn_b,development,41059,36998,1152,2909,90.11%
