name,version_live,version_wm,version_dp
MTLiveQoSService,1.1.3,1.1.5,1.1.3
FMDB,2.6.2,2.6.2.2,2.7.1
SSZipArchive,2.2.2,0.4.4,1.0.2
SAKFoundation,2.9.11,2.9.9,2.9.11
lottie-ios,2.5.3.1,2.5.0.4,2.5.3.1
NVNetworkLogger,5.5.35.1,5.5.18,5.5.34
SAKCrypto,2.6.3,2.5.1,2.6.1
NVNetwork,1.1.12,1.0.1,1.1.10
SAKStatistics,4.31.0,4.30.0,4.28.2
PLCrashReporter,1.2.0.1,1.2.105,
MTLive,1.1.200,1.2.0,1.1.200
QHOServiceManager,0.3.3,0.3.2,0.3.3
GCBaseModule,2.11.3,2.10.16,2.11.3
TableSeparator,0.4.3,0.0.3.5,0.4.3
NVReachability,0.4.24,0.4.20,0.4.21
SAKRisk,0.2.5,0.2.3,0.2.0
SDWebImage,3.7.2,,3.7.4.44
Kylin,1.0.0,1.0.1,1.2.2
clogan,0.1.3.1,0.1.2,0.1.4
OpenSSL-Universal,1.0.2.3,1.0.2.1,1.0.2.3
CIPStorage,1.5.0,1.2.14,1.2.22
Onimaru,1.6.0,1.7.8,1.8.1.1
libwebp,1.0.0,0.6.0,0.5.3
SAKNetwork,3.8.0,3.11.0,3.10.1
PicassoCache,0.2.32,0.2.9,0.2.31
NVTaskJson,0.0.7,0.0.3,0.0.5
NVSharkPush,0.2.3,0.2.4,0.2.5
NVObject,1.4.0,0.2.7,0.2.9
CIPServiceRegistry,0.1.6,0.1.16,0.1.18
SAKMetrics,1.6.2,1.9.29.1,1.9.45
LegoBase,10.20.0.3,9.4.1,10.20.0.3
BaseModel,1.4.0,1.0.2,1.0.13
SAKCrashReporter,1.2.6,1.2.10,1.2.13.1
SAKUIKit,2.1.7,2.6.5,2.7.0
SAKSniffer,1.3.0,1.2.1,1.2.3
SAKGuard,3.0.1,4.0.2.34,3.3.8.9
NVFoundation,0.3.2,0.2.2,0.3.2
informer,1.1.21,1.1.1,1.1.20
Luban,2.1.48,,2.1.47
TNSecureProtocol,1.8.10,,1.8.9
NVNetworkCore,4.5.2.1,4.4.12.4,4.5.1
Mantle,1.5.6,1.5.8.1,1.5.6.2
SAKEnvironment,0.7.0,0.7.10,0.7.14
NVMonitorCenter,4.4.28.3,4.4.28.1,4.4.28.2
SAKPortal,3.0.6,2.3.0,
NVJSON,0.1.3,0.1.0,0.1.3
NVLinker,0.1.32,0.1.20,0.1.32
NVJsonLabel,11.0.67,1.3.7.2,11.0.68
TMCache,1.4.9,1.4.4,1.4.9
NVTunnel,4.5.2.2,4.4.3,4.5.1.3
SAKBabelTower,0.5.0,0.4.0,0.3.30
NVModelLogic,1.4.90,1.4.83,1.4.96
NVTaskMapi,0.1.16,0.1.10,0.1.13
Gryphon,0.1.6,,0.1.5
SAKCrash,1.15.221,1.15.216,1.15.218
libextobjc,0.4.12,0.4.1,0.4.12
NVOpenUDID,0.1.3,0.1.0,0.1.3
ReactiveCocoa,2.5.3,2.5.4,2.5.5
